county_geoid,csa_code,cbsa_code,urban_area_code,total_population_2015,median_age_2015,median_household_income_2015,per_capita_income_2015,below_poverty_line_2015,aggregate_income_2015,gini_index_2015,state_2015,total_population_2016,median_age_2016,median_household_income_2016,per_capita_income_2016,below_poverty_line_2016,aggregate_income_2016,gini_index_2016,state_2016,total_population_2017,median_age_2017,median_household_income_2017,per_capita_income_2017,below_poverty_line_2017,aggregate_income_2017,gini_index_2017,state_2017,total_population_2018,median_age_2018,median_household_income_2018,per_capita_income_2018,below_poverty_line_2018,aggregate_income_2018,gini_index_2018,state_2018,total_population_2019,median_age_2019,median_household_income_2019,per_capita_income_2019,below_poverty_line_2019,aggregate_income_2019,gini_index_2019,state_2019,total_population_2020,median_age_2020,median_household_income_2020,per_capita_income_2020,below_poverty_line_2020,aggregate_income_2020,gini_index_2020,total_population_2021,median_age_2021,median_household_income_2021,per_capita_income_2021,below_poverty_line_2021,aggregate_income_2021,gini_index_2021,total_population_2022,median_age_2022,median_household_income_2022,per_capita_income_2022,below_poverty_line_2022,aggregate_income_2022,gini_index_2022,total_population_2023,median_age_2023,median_household_income_2023,per_capita_income_2023,below_poverty_line_2023,aggregate_income_2023,gini_index_2023,county_name,state_abbr,state_name,state_fips,census_region,census_division,urban_rural,urban_area_name,land_area_sq_km,water_area_sq_km,zcta5_count
1001,3104.0,33860.0,58600.0,54834.0,295.7,298471.0,166421.0,7441.0,1317213800.0,3.2898,7.0,55010.0,306.8,315746.0,180027.0,7668.0,1400991600.0,3.2629,7.0,54440.0,307.1,312643.0,181207.0,8603.0,1491597400.0,3.2854,7.0,54875.0,312.6,336994.0,194374.0,9459.0,1562516700.0,3.3009,7.0,54822.0,306.7,349999.0,198443.0,9315.0,1580237500.0,3.2363,7.0,55918.0,311.3,291920.0,176926.0,9385.0,1620225400.0,3.2769,58363.0,-666666366.4,-1333025195.0,-666484482.0,8423.0,1068773134.0,-666666662.8602,59112.0,-666666371.9000001,-1333013329.0,-666471214.0,7583.0,1343670834.0,-666666662.7975,59654.0,-666666392.1,-666296068.0,-666465501.0,7386.0,1427000334.0,-666666662.857,Autauga,AL,Alabama,1,3,6,Mixed,"Montgomery, AL",1600.230686,26.944585,8
1003,8740.0,19300.0,229185.0,194808.0,-666665690.4,-665786671.0,636949.0,25665.0,5045149600.0,-666666656.9287001,22.0,199223.0,-666665677.4,-1999097180.0,690854.0,25544.0,5272575900.0,-666666656.8666999,22.0,203005.0,1058.9,-2665724058.0,770324.0,23728.0,5552908100.0,9.4815,22.0,207694.0,1076.0,-1998981848.0,828937.0,21653.0,6057404200.0,9.2794,22.0,212476.0,1082.5,-1332150490.0,816042.0,21704.0,6543873600.0,9.6687,22.0,218046.0,1026.3,-3332256897.0,833258.0,19739.0,7005432500.0,9.4784,227125.0,-1333332326.5,-2665475806.0,-1332513424.0,20777.0,6309549368.0,-1333333322.5654001,233326.0,-1333332334.7,-1998610243.0,-1332513611.0,23617.0,7378910668.0,-1333333322.5828,239928.0,-1333332385.7,-2665329840.0,-1332561525.0,24991.0,8137754668.0,-1333333323.2073002,Baldwin,AL,Alabama,1,3,6,Mixed,"Fairhope--Daphne, AL",3698.047759,205.53167,23
1005,0.0,21640.0,0.0,25579.0,164.9,126987.0,62928.0,5989.0,389647200.0,1.8716,4.0,25303.0,160.5,132081.0,63275.0,5892.0,387346300.0,1.8611,4.0,25163.0,163.1,128258.0,63779.0,6052.0,395606000.0,1.8241,4.0,24709.0,163.10000000000002,128805.0,63851.0,6259.0,416224100.0,1.8343,4.0,24331.0,165.3,121693.0,64604.0,6625.0,419189500.0,1.9403000000000001,4.0,24057.0,165.9,129161.0,71442.0,6140.0,456003600.0,1.9637,24315.0,167.5,140312.0,78740.0,5691.0,476851300.0,1.9734,23767.0,168.9,152609.0,86040.0,5092.0,513401800.0,2.0481,23738.0,174.3,170151.0,97838.0,4599.0,555087900.0,2.0447,Barbour,AL,Alabama,1,3,6,Rural,,1787.833934,51.724831,4
1007,994.0,13820.0,0.0,22732.0,270.4,-666403005.0,112173.0,3327.0,374775500.0,-666666663.6378,7.0,22339.0,-666666436.4,-666390575.0,-666547250.0,3029.0,-283329466.0,-666666663.6474,7.0,22514.0,-666666417.1,-666342149.0,-666529940.0,2794.0,-231000066.0,-666666663.546,7.0,22630.0,-666666397.4,-666324158.0,-666526648.0,2805.0,-252917866.0,-666666663.5826,7.0,22490.0,-666666413.8000001,-666367610.0,137505.0,3717.0,415635900.0,-666666663.4032,7.0,21787.0,-666666424.5,-1333092161.0,146408.0,3730.0,431405600.0,-666666663.4129,22556.0,-666666427.7,-666327371.0,150234.0,3486.0,477178200.0,-666666663.4406,22038.0,-666666435.3,-1333098131.0,148198.0,4202.0,453742100.0,-666666663.3877,21494.0,-666666421.4000001,-666361619.0,161091.0,4024.0,496291100.0,-666666663.4309,Bibb,AL,Alabama,1,3,6,Rural,,1581.24039,9.351088,7
1009,1278.0,13820.0,130970.0,49721.0,374.3,-666324376.0,156007.0,9130.0,935682000.0,-666666662.8118,9.0,48849.0,375.0,-666329979.0,156536.0,8891.0,942271200.0,-666666662.756,9.0,49869.0,383.2,-666325663.0,165118.0,8485.0,1029075600.0,-666666662.5953001,9.0,50184.0,377.9,-666305910.0,171051.0,7721.0,398048234.0,-666666662.5767,9.0,50405.0,380.9,-666289314.0,188407.0,7368.0,507079434.0,-666666662.3769,9.0,51447.0,365.5,-666291577.0,193541.0,7201.0,1234965800.0,3.984,51346.0,362.4,-666250590.0,205027.0,7133.0,1305867700.0,3.9652,51378.0,359.5,-666205451.0,273138.0,7769.0,1376127500.0,3.9296,52125.0,361.3,593848.0,284693.0,7794.0,1470459100.0,3.6724,Blount,AL,Alabama,1,3,6,Mixed,"Oneonta, AL",1468.454692,11.993670999999999,9
1011,0.0,0.0,0.0,12354.0,160.6,130114.0,78360.0,3162.0,179956500.0,1.7453,4.0,12405.0,160.4,136834.0,80693.0,3357.0,187531700.0,1.7894,4.0,12166.0,162.7,142330.0,95403.0,3447.0,191403100.0,1.8954,4.0,11981.0,159.8,145659.0,93969.0,3731.0,199327200.0,1.9963,4.0,12032.0,159.7,159833.0,95411.0,3371.0,208918900.0,1.9197000000000002,4.0,11998.0,161.0,157921.0,98110.0,3268.0,214868300.0,1.9231,12836.0,168.3,153710.0,112210.0,3579.0,220684500.0,2.0558,12594.0,176.6,176254.0,121394.0,3150.0,240947200.0,2.0647,12410.0,179.4,169921.0,112451.0,2754.0,234017600.0,1.9675,Bullock,AL,Alabama,1,3,6,Rural,,2371.587072,7.393619000000001,4
1013,0.0,0.0,0.0,21594.0,213.2,164337.0,89800.0,5281.0,374460300.0,2.0914,5.0,21654.0,232.3,160759.0,96378.0,5254.0,382973800.0,2.2132,5.0,21772.0,227.0,171045.0,94328.0,4937.0,366540300.0,2.1914,5.0,21544.0,211.6,190526.0,98728.0,4701.0,377211700.0,2.2821,5.0,21286.0,221.6,201933.0,103725.0,4464.0,394107000.0,2.2028,5.0,20802.0,225.7,239119.0,124808.0,3790.0,453504900.0,2.266,20076.0,224.8,-666459982.0,134817.0,3587.0,457146600.0,2.3829000000000002,20100.0,212.8,248082.0,149184.0,4139.0,531175200.0,2.5019,20046.0,218.8,241196.0,138408.0,4066.0,551489000.0,2.5812,Butler,AL,Alabama,1,3,6,Rural,,2287.953759,3.106669,5
1015,0.0,11500.0,7887.0,103121.0,409.0,448902.0,228809.0,21408.0,2095434400.0,4.1183,10.0,103086.0,392.6,455405.0,236218.0,20201.0,2189511100.0,4.2931,10.0,103107.0,394.0,493405.0,258741.0,18942.0,2356110300.0,4.4363,10.0,102720.0,403.8,505097.0,270807.0,19289.0,2478016600.0,4.4974,10.0,101868.0,408.4,542110.0,279316.0,18177.0,2510677800.0,4.4899000000000004,10.0,101899.0,412.9,-666199039.0,273021.0,16459.0,2610872400.0,4.5526,102789.0,404.6,507794.0,269758.0,17587.0,2584094600.0,4.4713,102220.0,400.6,556190.0,286360.0,17711.0,2743638800.0,4.3708,102066.0,399.8,550852.0,297843.0,16714.0,2872967800.0,4.415,Calhoun,AL,Alabama,1,3,6,Mixed,"Anniston--Oxford, AL",1806.739248,15.515429,10
1017,732.0,29300.0,0.0,39255.0,262.4,219110.0,125357.0,8342.0,790780800.0,2.909,6.0,39200.0,262.4,226314.0,129899.0,7643.0,815722900.0,2.8743,6.0,39310.0,260.1,259571.0,134648.0,7241.0,845656100.0,2.7183,6.0,39327.0,257.2,266061.0,142894.0,6437.0,880343300.0,2.6619,6.0,39756.0,258.1,299385.0,154059.0,6622.0,923432500.0,2.6391,6.0,39815.0,251.8,335454.0,161963.0,6171.0,975368500.0,2.5511,40764.0,254.5,370144.0,169702.0,6095.0,1004005200.0,2.4998,40611.0,260.9,386525.0,191962.0,6339.0,1112322900.0,2.6083,41128.0,268.1,378982.0,201130.0,5447.0,1177402700.0,2.5159000000000002,Chambers,AL,Alabama,1,3,6,Rural,,1479.0464980000002,20.917845,6
1019,0.0,0.0,0.0,21998.0,177.7,143340.0,83671.0,4412.0,485923100.0,1.7862,4.0,21524.0,182.3,153912.0,88110.0,3619.0,498867100.0,1.7571999999999999,4.0,21362.0,181.2,166665.0,90907.0,3462.0,510607200.0,1.7298,4.0,21100.0,180.3,168525.0,92973.0,3113.0,506409700.0,1.7122,4.0,20730.0,183.6,176228.0,97923.0,2857.0,519907300.0,1.7447,4.0,20582.0,185.9,180660.0,102380.0,2339.0,529353500.0,1.7248999999999999,20214.0,182.8,186006.0,103763.0,2833.0,484736200.0,1.7551999999999999,20097.0,183.3,210043.0,112521.0,2518.0,518577300.0,1.7168,20570.0,182.4,221396.0,122449.0,2653.0,599716000.0,1.7215,Cherokee,AL,Alabama,1,3,6,Rural,,949.158488,119.117334,4
