state_fips,csa_code,cbsa_code,urban_area_code,total_population_2015,median_age_2015,median_household_income_2015,per_capita_income_2015,below_poverty_line_2015,aggregate_income_2015,gini_index_2015,state_2015,total_population_2016,median_age_2016,median_household_income_2016,per_capita_income_2016,below_poverty_line_2016,aggregate_income_2016,gini_index_2016,state_2016,total_population_2017,median_age_2017,median_household_income_2017,per_capita_income_2017,below_poverty_line_2017,aggregate_income_2017,gini_index_2017,state_2017,total_population_2018,median_age_2018,median_household_income_2018,per_capita_income_2018,below_poverty_line_2018,aggregate_income_2018,gini_index_2018,state_2018,total_population_2019,median_age_2019,median_household_income_2019,per_capita_income_2019,below_poverty_line_2019,aggregate_income_2019,gini_index_2019,state_2019,total_population_2020,median_age_2020,median_household_income_2020,per_capita_income_2020,below_poverty_line_2020,aggregate_income_2020,gini_index_2020,total_population_2021,median_age_2021,median_household_income_2021,per_capita_income_2021,below_poverty_line_2021,aggregate_income_2021,gini_index_2021,total_population_2022,median_age_2022,median_household_income_2022,per_capita_income_2022,below_poverty_line_2022,aggregate_income_2022,gini_index_2022,total_population_2023,median_age_2023,median_household_income_2023,per_capita_income_2023,below_poverty_line_2023,aggregate_income_2023,gini_index_2023,state_name,state_abbr,census_region,census_division,land_area_sq_km,water_area_sq_km,county_count,zcta5_count
1,106836.0,12639510.0,4649205.0,4830234.0,-3999973985.9,-13308688782.0,-1986415197.0,887171.0,105815253306.0,-10666666383.6605,637.0,4840916.0,-4666640533.6,-25974602131.0,-2652707502.0,868579.0,107520345974.0,-10666666383.3004,637.0,4850521.0,-5999973825.8,-27973939076.0,-3318630227.0,849614.0,111687588408.0,-11999999715.2835,637.0,4864429.0,-6666640441.7,-29973187561.0,-2651361200.0,829321.0,117726721374.0,-12666666379.9179,637.0,4876017.0,-7999973688.2,-30638768658.0,-1984087354.0,795913.0,123774885540.0,-13999999712.2216,637.0,4892770.0,-7999973529.2,-33304341648.0,-1316690153.0,762554.0,130537269772.0,-12666666382.383501,4997651.0,-17333306939.4,-49303082074.0,-11982709023.0,769819.0,126223992452.0,-26666666369.1404,5027977.0,-17999973579.6,-49966955720.0,-12647966789.0,768897.0,140394604720.0,-26666666369.2383,5054137.0,-17999973476.4,-47298817080.0,-13980685228.0,768185.0,147088071656.0,-27333333039.8785,Alabama,AL,3,6,130158.267592,2767.857576,67,656
2,0.0,607340.0,203927.0,732255.0,-3333325252.8,-7321847828.0,-2660916689.0,72819.0,17847006538.0,-4666666571.7789,474.0,735799.0,-4666658608.099999,-11988459072.0,-2660923299.0,72772.0,18392069738.0,-6666666570.3844,474.0,737361.0,-4666658616.4,-14655150887.0,-1994151239.0,73322.0,19845000804.0,-6666666569.8321,474.0,737030.0,-3999991868.7999997,-14654773584.0,-1993876488.0,77815.0,20450765804.0,-5999999902.7783,474.0,735425.0,-3999991869.7999997,-15321357869.0,-2660459411.0,76904.0,20306545338.0,-5999999902.4339,474.0,735205.0,-3333325026.4,-17321309644.0,-1993540202.0,74344.0,21207916104.0,-5333333237.3728,735549.0,-5333324656.1,-18653682469.0,-3326295701.0,75002.0,20902591306.0,-8666666565.7122,734264.0,-5333324680.0,-24653298184.0,-3325471440.0,75205.0,23233560406.0,-8666666565.1886,733346.0,-7999991272.9,-23319191155.0,-4658585840.0,72954.0,23448737674.0,-11999999897.5615,Alaska,AK,4,9,528457.601565,26107.37106,30,245
4,105841.0,14525240.0,10171390.0,6639412.0,-6666650242.7,-12648910836.0,-3990579528.0,1180156.0,158031712540.0,-9333333158.5759,1616.0,6726032.0,-6666650070.099999,-17314946416.0,-3990265644.0,1165108.0,165781347440.0,-9999999823.1736,1616.0,6807674.0,-6666649945.6,-16647513117.0,-5323130014.0,1127556.0,174331566342.0,-11333333155.0726,1616.0,6944587.0,-6666649812.2,-15980079291.0,-5989332273.0,1091709.0,185563351876.0,-11333333155.8314,1616.0,7048538.0,-6666649674.599999,-19312733931.0,-5988842532.0,1043315.0,198333418976.0,-9999999823.9518,1616.0,7172984.0,-6666649582.1,-18645357718.0,-4655102764.0,990629.0,215022589308.0,-10666666491.9106,7077967.0,-9333315853.4,-24643468999.0,-7320875057.0,934580.0,227997011446.0,-14666666485.6031,7171079.0,-8666649063.3,-25974953651.0,-7319667803.0,916674.0,257951724612.0,-13333333152.9178,7266592.0,-9333315529.2,-22640013880.0,-7318901317.0,906846.0,279873905878.0,-15333333150.2459,Arizona,AZ,4,8,233557.023622,771.302242,15,416
5,50684.0,9190580.0,2115481.0,2957784.0,-3333308490.2,-9979405238.0,-654841866.0,553640.0,61197258204.0,-7333333086.0022,2930.0,2968063.0,-5999975282.9,-33312097496.0,-1987880630.0,542427.0,61821904772.0,-9333333083.9948,2930.0,2977538.0,-7333308373.4,-36644943963.0,-1320769570.0,524218.0,65669757938.0,-10666666417.5296,2930.0,2990209.0,-5999974862.0,-38644297547.0,-1986713421.0,510289.0,68684891172.0,-9999999749.0414,2930.0,2999124.0,-5999974728.8,-45977421940.0,-2653107774.0,496135.0,71049054506.0,-11333333081.6892,2930.0,3011731.0,-6666641351.4,-45976337697.0,-2652540928.0,470148.0,75138311806.0,-9999999753.1826,3006613.0,-17333307349.7,-52640521999.0,-9984958002.0,468112.0,71613689280.0,-21999999739.9005,3018847.0,-15999973799.2,-61972396861.0,-9983326390.0,475696.0,79893736880.0,-19333333074.0773,3032833.0,-15333307203.1,-63971503768.0,-8649290164.0,471805.0,86136363612.0,-21333333071.9414,Arkansas,AR,3,7,132162.079404,3009.150628,75,614
6,486704.0,60695760.0,51359377.0,38413562.0,-23999930914.0,-46562185659.0,-13279443284.0,6135040.0,1094193012790.0,-35333332567.1028,10536.0,38645806.0,-23333263778.1,-85893083653.0,-13277426569.0,6004091.0,1143284483124.0,-36666665894.2892,10536.0,38974204.0,-24666596554.9,-85888057419.0,-12608144255.0,5773185.0,1215144859090.0,-39999999223.3026,10536.0,39140060.0,-23999929400.5,-86548169144.0,-12604477716.0,5486983.0,1291133798858.0,-37999999222.7014,10536.0,39275119.0,-23333262188.9,-89876095350.0,-14601203844.0,5149558.0,1366545603628.0,-39333332556.071,10536.0,39337550.0,-27999928935.1,-102537557213.0,-16598847001.0,4853253.0,1431092951298.0,-43999999224.3707,39454350.0,-38666594530.4,-132528765811.0,-28593734484.0,4741132.0,1522716850152.0,-67333332527.8051,39355165.0,-36666594356.2,-133182387712.0,-26585680352.0,4685130.0,1689835855684.0,-69333332522.5301,39241543.0,-39333260874.6,-139843369121.0,-27915468591.0,4610446.0,1785459396518.0,-68666665859.0704,California,CA,4,9,280642.702012,4231.986912,58,1803
8,55723.0,8618650.0,2887063.0,5275328.0,-11999978924.4,-15305965684.0,-7318387082.0,653485.0,157206650108.0,-12666666448.9965,4200.0,5356528.0,-11333312056.4,-29972160356.0,-5984795701.0,637465.0,167056429106.0,-13999999781.6113,4200.0,5433791.0,-10666645304.5,-30637479798.0,-5984117635.0,611869.0,177995746506.0,-11999999783.5378,4200.0,5528495.0,-11333311833.4,-30636265260.0,-6650097063.0,590299.0,188798596740.0,-11999999783.112,4200.0,5607800.0,-11333311931.6,-29301660501.0,-7982782489.0,565592.0,199659976642.0,-13999999783.1092,4200.0,5682504.0,-10666644981.3,-34634369939.0,-7315248504.0,544054.0,207663170508.0,-11333333120.998499,5722165.0,-14666644850.0,-41965678447.0,-10646964187.0,535961.0,226635936946.0,-18666666444.29,5769708.0,-14666644724.7,-43296485868.0,-10644770097.0,539958.0,254929098446.0,-17999999776.2621,5809540.0,-15333311379.7,-39960700603.0,-10643314290.0,533957.0,276816473412.0,-17999999773.0946,Colorado,CO,4,8,267337.42150399997,1201.639295,63,527
9,116784.0,9057100.0,6786951.0,3593216.0,-3333321575.0,-5311479738.0,-1988684154.0,366351.0,132573649736.0,-4666666546.9470005,2520.0,3588564.0,-3333321513.4,-9977734497.0,-1988359362.0,360464.0,136343718536.0,-3999999880.0381002,2520.0,3594472.0,-2666654627.5,-9977171427.0,-1321230968.0,350783.0,142997674168.0,-3999999879.7921996,2520.0,3581499.0,-1999987908.8,-8642871045.0,-1320657976.0,348449.0,148640895768.0,-3333333213.6942,2520.0,3575069.0,-1999987845.6,-7975013387.0,-1986877637.0,344146.0,152935726902.0,-2666666546.0179996,2520.0,3570544.0,-1999987855.8999999,-8641420603.0,-1986545287.0,339156.0,157783619402.0,-2666666546.9595,3605330.0,-3333320904.6,-11973276509.0,-652045022.0,351476.0,166593538502.0,-5333333209.1122,3611317.0,-2666654279.0,-11971424462.0,-1317431401.0,355692.0,181437403936.0,-4666666541.6529,3598348.0,-3333320936.0,-11970310277.0,-1983588747.0,351948.0,188850796170.0,-5333333206.7681,Connecticut,CT,1,1,12541.938758,504.647518,9,288
10,19688.0,2379880.0,1815785.0,926454.0,-1333330653.3999999,-4663000690.0,-664746247.0,108315.0,24598591736.0,-3999999971.3195,670.0,934695.0,-1333330658.6,-5996357570.0,1987101.0,109448.0,25991462202.0,-3333333304.7998,670.0,943732.0,-1999997362.7,-5329555187.0,2034528.0,111304.0,27646079002.0,-3999999970.7803,670.0,949495.0,-1333330587.6000001,-5329408399.0,-664510558.0,109798.0,28441507636.0,-3333333304.5456,670.0,957248.0,-1999997268.5,-5329261063.0,-664468936.0,109400.0,30062797836.0,-3999999970.5254,670.0,967679.0,-1999997227.0,-7329319738.0,-664370628.0,107641.0,31572331436.0,-3999999970.7011,982285.0,-1999997099.9,-5995520246.0,-1330682302.0,109289.0,34344933036.0,-3333333303.8043003,994084.0,-1999997072.6,-4661663709.0,-1330448547.0,107827.0,38039541036.0,-3333333303.9583,1006247.0,-2666663796.0,-4661347005.0,-1997003901.0,105286.0,40075824370.0,-3999999970.441,Delaware,DE,3,5,5058.493859,244.469435,3,68
11,31236.0,2730300.0,5257794.0,647185.0,-10666665686.4,-14664835662.0,-10665344744.0,110365.0,14748400648.0,-14666666640.8507,495.0,658792.0,-10666665686.6,-14664787273.0,-10665321500.0,112060.0,15923065948.0,-14666666640.7724,495.0,672223.0,-10666665683.3,-14664694066.0,-10665280844.0,111025.0,17604549048.0,-14666666640.768301,495.0,684390.0,-10666665684.0,-14664599761.0,-10665244577.0,109497.0,19569680748.0,-14666666640.8059,495.0,692617.0,-10666665679.7,-14664505337.0,-10665152730.0,107140.0,21703493048.0,-14666666640.7958,495.0,701933.0,-10666665675.4,-15331153311.0,-10665068395.0,103391.0,23847462548.0,-14666666640.8769,683154.0,-17999998983.7,-22664370341.0,-17998239543.0,100618.0,20258187256.0,-22666666633.1477,670587.0,-17999998973.7,-23330887769.0,-17998033337.0,98039.0,25458468922.0,-23333333299.3113,672079.0,-17999998969.6,-23330768542.0,-17997937781.0,94140.0,28676441222.0,-23333333299.242,District of Columbia,DC,3,5,158.316181,18.709785,1,57
12,240687.0,32516300.0,32727371.0,19645049.0,-6666624191.5,-15286386541.0,-3306908841.0,3180109.0,487557208042.0,-12666666228.186,11772.0,19933003.0,-5333290526.2,-23285284628.0,-3306129487.0,3139258.0,508353277042.0,-11333332895.0559,11772.0,20276655.0,-5999957083.0,-21283252949.0,-3971584367.0,3070972.0,540186572108.0,-11999999561.5119,11772.0,20596209.0,-5999956935.7,-25947822523.0,-4636415595.0,2983851.0,575478000242.0,-11333332894.4559,11772.0,20899368.0,-6666623493.6,-23278267366.0,-4635164680.0,2870487.0,612350931942.0,-13333332894.055399,11772.0,21214280.0,-7333289993.2,-23942945031.0,-5967867505.0,2772939.0,649017056810.0,-12666666227.297699,21339762.0,-17999955863.3,-42605509105.0,-14631622471.0,2744612.0,698008001922.0,-26666666210.950798,21634506.0,-18666622396.6,-41266062593.0,-13961255228.0,2725633.0,788193695822.0,-27999999541.8454,21928794.0,-17999955474.9,-43262601220.0,-12625614169.0,2707698.0,853258178720.0,-25999999543.4662,Florida,FL,3,5,124681.386424,10904.71147,67,1013
