county_geoid,csa_code,cbsa_code,urban_area_code,bachelors_degree_2015,masters_degree_2015,professional_degree_2015,doctorate_degree_2015,total_pop_25plus_2015,employed_2015,unemployed_2015,in_labor_force_2015,total_commuters_2015,mean_travel_time_work_2015,state_2015,bachelors_degree_2016,masters_degree_2016,professional_degree_2016,doctorate_degree_2016,total_pop_25plus_2016,employed_2016,unemployed_2016,in_labor_force_2016,total_commuters_2016,mean_travel_time_work_2016,state_2016,bachelors_degree_2017,masters_degree_2017,professional_degree_2017,doctorate_degree_2017,total_pop_25plus_2017,employed_2017,unemployed_2017,in_labor_force_2017,total_commuters_2017,mean_travel_time_work_2017,state_2017,bachelors_degree_2018,masters_degree_2018,professional_degree_2018,doctorate_degree_2018,total_pop_25plus_2018,employed_2018,unemployed_2018,in_labor_force_2018,total_commuters_2018,mean_travel_time_work_2018,state_2018,bachelors_degree_2019,masters_degree_2019,professional_degree_2019,doctorate_degree_2019,total_pop_25plus_2019,employed_2019,unemployed_2019,in_labor_force_2019,total_commuters_2019,mean_travel_time_work_2019,state_2019,bachelors_degree_2020,masters_degree_2020,professional_degree_2020,doctorate_degree_2020,total_pop_25plus_2020,employed_2020,unemployed_2020,in_labor_force_2020,total_commuters_2020,mean_travel_time_work_2020,bachelors_degree_2021,masters_degree_2021,professional_degree_2021,doctorate_degree_2021,total_pop_25plus_2021,employed_2021,unemployed_2021,in_labor_force_2021,total_commuters_2021,mean_travel_time_work_2021,bachelors_degree_2022,masters_degree_2022,professional_degree_2022,doctorate_degree_2022,total_pop_25plus_2022,employed_2022,unemployed_2022,in_labor_force_2022,total_commuters_2022,mean_travel_time_work_2022,bachelors_degree_2023,masters_degree_2023,professional_degree_2023,doctorate_degree_2023,total_pop_25plus_2023,employed_2023,unemployed_2023,in_labor_force_2023,total_commuters_2023,mean_travel_time_work_2023,county_name,state_abbr,state_name,state_fips,census_region,census_division,urban_rural,urban_area_name,land_area_sq_km,water_area_sq_km,zcta5_count
1001,3104.0,33860.0,58600.0,4968.0,2921.0,506.0,235.0,36245.0,23806.0,2066.0,26346.0,23919.0,23528.0,7.0,5294.0,3118.0,503.0,279.0,36540.0,24066.0,1647.0,26074.0,24121.0,23737.0,7.0,5262.0,3142.0,488.0,413.0,36712.0,23678.0,1591.0,25836.0,23952.0,23471.0,7.0,5830.0,3297.0,532.0,515.0,37351.0,23541.0,1362.0,25554.0,23968.0,23354.0,7.0,5957.0,2865.0,512.0,551.0,37279.0,23827.0,1125.0,25571.0,24120.0,23348.0,7.0,6325.0,3553.0,480.0,492.0,38332.0,24273.0,859.0,26003.0,24719.0,23771.0,6440.0,3792.0,446.0,424.0,39986.0,25596.0,776.0,27549.0,26321.0,25033.0,6707.0,4226.0,665.0,455.0,40574.0,26262.0,746.0,28106.0,26954.0,25396.0,6623.0,4172.0,629.0,421.0,40847.0,26635.0,694.0,28478.0,27311.0,25614.0,Autauga,AL,Alabama,1,3,6,Mixed,"Montgomery, AL",1600.230686,26.944585,8
1003,8740.0,19300.0,229185.0,26308.0,9338.0,2567.0,1411.0,136775.0,85887.0,6896.0,93025.0,84438.0,81129.0,22.0,27041.0,10056.0,2967.0,1264.0,139733.0,87640.0,5887.0,93759.0,86197.0,81829.0,22.0,29227.0,10714.0,2885.0,1132.0,142825.0,89341.0,5215.0,94782.0,87651.0,82701.0,22.0,30422.0,11338.0,2992.0,1314.0,146716.0,93128.0,4343.0,97779.0,91169.0,85574.0,22.0,31796.0,11812.0,2912.0,1623.0,150894.0,94873.0,4226.0,99277.0,92923.0,86881.0,22.0,31435.0,13331.0,2845.0,2016.0,155409.0,98597.0,4027.0,102945.0,96927.0,90678.0,33371.0,13884.0,3059.0,2240.0,161952.0,104243.0,3994.0,108749.0,102544.0,94531.0,33466.0,15077.0,3483.0,2351.0,166952.0,107131.0,3825.0,111643.0,105758.0,96124.0,35348.0,14835.0,3843.0,2382.0,172001.0,109518.0,3615.0,113740.0,108219.0,97433.0,Baldwin,AL,Alabama,1,3,6,Mixed,"Fairhope--Daphne, AL",3698.047759,205.53167,23
1005,0.0,21640.0,0.0,1316.0,708.0,131.0,65.0,17862.0,8135.0,1731.0,9866.0,8012.0,7877.0,4.0,1315.0,709.0,98.0,75.0,17450.0,8417.0,1252.0,9669.0,8217.0,8106.0,4.0,1343.0,611.0,65.0,69.0,17713.0,8417.0,1225.0,9642.0,8229.0,8114.0,4.0,1350.0,578.0,64.0,105.0,17408.0,8256.0,883.0,9139.0,8077.0,7966.0,4.0,1334.0,466.0,101.0,90.0,17285.0,7963.0,842.0,8805.0,7773.0,7650.0,4.0,1249.0,515.0,89.0,113.0,17147.0,8199.0,641.0,8840.0,8037.0,7885.0,1179.0,489.0,164.0,111.0,17358.0,8185.0,800.0,8985.0,8085.0,7948.0,1146.0,603.0,209.0,105.0,16993.0,7889.0,508.0,8397.0,7778.0,7444.0,1143.0,521.0,201.0,90.0,17060.0,8017.0,582.0,8599.0,7920.0,7450.0,Barbour,AL,Alabama,1,3,6,Rural,,1787.833934,51.724831,4
1007,994.0,13820.0,0.0,977.0,609.0,46.0,55.0,15761.0,8503.0,687.0,9193.0,8357.0,8298.0,7.0,999.0,734.0,56.0,100.0,15763.0,8419.0,569.0,8993.0,8345.0,8244.0,7.0,1319.0,583.0,92.0,99.0,16034.0,8239.0,668.0,8909.0,8092.0,7974.0,7.0,1219.0,442.0,87.0,87.0,15982.0,8097.0,590.0,8687.0,7944.0,7736.0,7.0,1060.0,488.0,80.0,67.0,16269.0,8256.0,659.0,8915.0,8036.0,7779.0,7.0,919.0,481.0,109.0,41.0,15545.0,7800.0,565.0,8365.0,7604.0,7315.0,1033.0,476.0,93.0,68.0,16011.0,8197.0,773.0,8970.0,7968.0,7600.0,803.0,511.0,109.0,76.0,15672.0,8005.0,671.0,8676.0,7827.0,7516.0,884.0,489.0,92.0,81.0,15275.0,8161.0,788.0,8949.0,8048.0,7717.0,Bibb,AL,Alabama,1,3,6,Rural,,1581.24039,9.351088,7
1009,1278.0,13820.0,130970.0,2440.0,1233.0,155.0,117.0,33718.0,18929.0,1733.0,20689.0,18669.0,18165.0,9.0,2620.0,1134.0,186.0,133.0,33377.0,18439.0,1339.0,19787.0,18190.0,17747.0,9.0,2575.0,1302.0,168.0,121.0,33913.0,18693.0,1139.0,19859.0,18527.0,18166.0,9.0,2495.0,1297.0,178.0,108.0,34172.0,18764.0,950.0,19765.0,18560.0,18185.0,9.0,2786.0,1338.0,236.0,83.0,34660.0,18950.0,816.0,19801.0,18726.0,18460.0,9.0,3140.0,1436.0,214.0,112.0,35148.0,20174.0,1025.0,21238.0,19952.0,19571.0,3232.0,1684.0,301.0,141.0,35422.0,20466.0,1242.0,21748.0,20191.0,19723.0,3164.0,1561.0,294.0,144.0,35234.0,20897.0,1232.0,22148.0,20571.0,19823.0,3454.0,1580.0,303.0,140.0,35641.0,21904.0,1311.0,23219.0,21564.0,20647.0,Blount,AL,Alabama,1,3,6,Mixed,"Oneonta, AL",1468.454692,11.993670999999999,9
1011,0.0,0.0,0.0,570.0,385.0,143.0,33.0,8610.0,4493.0,1015.0,5508.0,4462.0,4348.0,4.0,480.0,292.0,91.0,36.0,8649.0,4953.0,769.0,5728.0,4932.0,4818.0,4.0,589.0,327.0,121.0,61.0,8444.0,4888.0,688.0,5582.0,4877.0,4747.0,4.0,658.0,256.0,147.0,63.0,8207.0,4416.0,592.0,5014.0,4395.0,4287.0,4.0,644.0,269.0,74.0,61.0,8236.0,4865.0,228.0,5099.0,4853.0,4773.0,4.0,553.0,226.0,108.0,44.0,7994.0,4688.0,196.0,4889.0,4651.0,4613.0,764.0,279.0,50.0,63.0,8533.0,4606.0,164.0,4770.0,4498.0,4468.0,693.0,170.0,62.0,46.0,8596.0,4572.0,179.0,4751.0,4447.0,4413.0,680.0,175.0,65.0,0.0,8867.0,4489.0,258.0,4754.0,4374.0,4325.0,Bullock,AL,Alabama,1,3,6,Rural,,2371.587072,7.393619000000001,4
1013,0.0,0.0,0.0,1193.0,647.0,131.0,97.0,14885.0,8302.0,965.0,9299.0,8213.0,8077.0,5.0,1369.0,693.0,136.0,105.0,14874.0,8261.0,887.0,9166.0,8135.0,7966.0,5.0,1376.0,689.0,132.0,112.0,14995.0,8278.0,665.0,8962.0,8162.0,8004.0,5.0,1389.0,662.0,136.0,100.0,14811.0,8358.0,626.0,8996.0,8238.0,8100.0,5.0,1375.0,737.0,121.0,40.0,14761.0,8379.0,640.0,9030.0,8270.0,8168.0,5.0,1432.0,651.0,139.0,19.0,14486.0,8312.0,610.0,8922.0,8238.0,8030.0,1153.0,644.0,132.0,24.0,13999.0,7940.0,579.0,8522.0,7851.0,7625.0,1110.0,553.0,139.0,21.0,13982.0,8034.0,639.0,8677.0,7940.0,7634.0,1131.0,593.0,154.0,31.0,13953.0,8127.0,549.0,8680.0,8020.0,7637.0,Butler,AL,Alabama,1,3,6,Rural,,2287.953759,3.106669,5
1015,0.0,11500.0,7887.0,7563.0,3461.0,689.0,595.0,69492.0,41400.0,5724.0,47395.0,40318.0,39147.0,10.0,7324.0,3670.0,786.0,577.0,69938.0,41286.0,5448.0,47027.0,40136.0,39032.0,10.0,7094.0,3862.0,884.0,689.0,70506.0,41673.0,4686.0,46655.0,40689.0,39299.0,10.0,6977.0,3947.0,899.0,747.0,70632.0,42116.0,4137.0,46516.0,41193.0,39903.0,10.0,7282.0,3987.0,909.0,733.0,70606.0,41883.0,3817.0,46205.0,41254.0,40203.0,10.0,7072.0,4125.0,980.0,830.0,70468.0,42229.0,3487.0,46006.0,41550.0,40615.0,7845.0,3921.0,846.0,946.0,71072.0,43240.0,3245.0,46834.0,42707.0,41425.0,7858.0,3566.0,812.0,908.0,69447.0,43581.0,3249.0,47176.0,43023.0,41642.0,8692.0,3848.0,892.0,762.0,69071.0,42888.0,2928.0,46243.0,42496.0,40667.0,Calhoun,AL,Alabama,1,3,6,Mixed,"Anniston--Oxford, AL",1806.739248,15.515429,10
1017,732.0,29300.0,0.0,2456.0,911.0,197.0,104.0,27009.0,16155.0,1575.0,17755.0,15898.0,15529.0,6.0,2609.0,893.0,218.0,142.0,27026.0,16469.0,1266.0,17759.0,16168.0,15689.0,6.0,2766.0,1064.0,288.0,128.0,26946.0,16939.0,1110.0,18060.0,16487.0,16070.0,6.0,2883.0,981.0,265.0,146.0,26900.0,17153.0,836.0,18025.0,16677.0,16285.0,6.0,3112.0,1134.0,244.0,159.0,27734.0,17640.0,689.0,18369.0,17112.0,16646.0,6.0,3184.0,1118.0,187.0,125.0,27585.0,17615.0,646.0,18277.0,17125.0,16730.0,3176.0,1113.0,131.0,80.0,28276.0,18335.0,626.0,18961.0,17781.0,17465.0,3062.0,1007.0,103.0,114.0,28669.0,18108.0,600.0,18768.0,17762.0,17274.0,3278.0,1281.0,170.0,168.0,29244.0,18029.0,823.0,18903.0,17637.0,16998.0,Chambers,AL,Alabama,1,3,6,Rural,,1479.0464980000002,20.917845,6
1019,0.0,0.0,0.0,1255.0,651.0,226.0,99.0,15792.0,8348.0,755.0,9103.0,8087.0,7885.0,4.0,1256.0,696.0,262.0,102.0,15544.0,8240.0,512.0,8752.0,8012.0,7872.0,4.0,1113.0,608.0,271.0,97.0,15742.0,8180.0,467.0,8647.0,8046.0,7880.0,4.0,1141.0,593.0,335.0,88.0,15458.0,7966.0,485.0,8451.0,7853.0,7684.0,4.0,1070.0,593.0,343.0,78.0,15257.0,7991.0,373.0,8364.0,7889.0,7727.0,4.0,1081.0,599.0,384.0,73.0,15414.0,8206.0,325.0,8531.0,8114.0,7901.0,1031.0,668.0,297.0,66.0,15049.0,7815.0,408.0,8223.0,7672.0,7428.0,1276.0,723.0,220.0,70.0,14964.0,8148.0,321.0,8469.0,7958.0,7643.0,1401.0,775.0,217.0,90.0,15488.0,8502.0,317.0,8819.0,8350.0,7936.0,Cherokee,AL,Alabama,1,3,6,Rural,,949.158488,119.117334,4
