county_geoid,csa_code,cbsa_code,urban_area_code,total_housing_units_2015,owner_occupied_2015,renter_occupied_2015,median_home_value_2015,median_gross_rent_2015,median_year_built_2015,median_rooms_2015,avg_household_size_2015,state_2015,total_housing_units_2016,owner_occupied_2016,renter_occupied_2016,median_home_value_2016,median_gross_rent_2016,median_year_built_2016,median_rooms_2016,avg_household_size_2016,state_2016,total_housing_units_2017,owner_occupied_2017,renter_occupied_2017,median_home_value_2017,median_gross_rent_2017,median_year_built_2017,median_rooms_2017,avg_household_size_2017,state_2017,total_housing_units_2018,owner_occupied_2018,renter_occupied_2018,median_home_value_2018,median_gross_rent_2018,median_year_built_2018,median_rooms_2018,avg_household_size_2018,state_2018,total_housing_units_2019,owner_occupied_2019,renter_occupied_2019,median_home_value_2019,median_gross_rent_2019,median_year_built_2019,median_rooms_2019,avg_household_size_2019,state_2019,total_housing_units_2020,owner_occupied_2020,renter_occupied_2020,median_home_value_2020,median_gross_rent_2020,median_year_built_2020,median_rooms_2020,avg_household_size_2020,total_housing_units_2021,owner_occupied_2021,renter_occupied_2021,median_home_value_2021,median_gross_rent_2021,median_year_built_2021,median_rooms_2021,avg_household_size_2021,total_housing_units_2022,owner_occupied_2022,renter_occupied_2022,median_home_value_2022,median_gross_rent_2022,median_year_built_2022,median_rooms_2022,avg_household_size_2022,total_housing_units_2023,owner_occupied_2023,renter_occupied_2023,median_home_value_2023,median_gross_rent_2023,median_year_built_2023,median_rooms_2023,avg_household_size_2023,county_name,state_abbr,state_name,state_fips,census_region,census_division,urban_rural,urban_area_name,land_area_sq_km,water_area_sq_km,zcta5_count
1001,3104.0,33860.0,58600.0,22874.0,14487.0,5864.0,709500.0,-1333329585.0,13910.0,40.0,18.03,7.0,23069.0,14724.0,6094.0,-666076566.0,-1333329438.0,13910.0,41.0,17.86,7.0,23406.0,14729.0,6327.0,694900.0,-1333329381.0,13914.0,40.0,17.169999999999998,7.0,23511.0,15140.0,6143.0,813800.0,-666662516.0,13922.0,40.5,16.95,7.0,23671.0,14904.0,6658.0,843700.0,-1333329531.0,13924.0,40.8,16.86,7.0,23922.0,15538.0,6372.0,863400.0,-666662121.0,13909.0,40.7,16.93,24329.0,15664.0,6493.0,-665829166.0,-1999995538.0,-666652754.0,-666666624.2,-666666647.78,24727.0,16424.0,6145.0,-1332482332.0,-1333327945.0,-666652773.0,-666666622.8000001,-666666647.82,25049.0,16445.0,6414.0,-1332477132.0,-1333327797.0,-666652768.0,-666666622.0,-666666647.9599999,Autauga,AL,Alabama,1,3,6,Mixed,"Montgomery, AL",1600.230686,26.944585,8
1003,8740.0,19300.0,229185.0,106313.0,52888.0,21107.0,-663664366.0,-4666653604.0,43746.0,-666666539.3,56.0,22.0,107472.0,53798.0,21244.0,-1996927198.0,-3999985370.0,43756.0,-666666540.6999999,54.4,22.0,109947.0,55351.0,20663.0,-2663427364.0,-3999986011.0,43759.0,-666666539.5,55.11,22.0,111807.0,57700.0,20741.0,-1996507798.0,-3999985715.0,43775.0,-1333333212.7,54.01,22.0,114052.0,60752.0,20020.0,-660387365.0,-3333317542.0,41818.0,-666666538.7,54.06,22.0,116673.0,64608.0,19320.0,-1328805232.0,-3999984985.0,41837.0,-1333333208.9,56.24,121772.0,67163.0,19993.0,-1995325098.0,-4666650235.0,-1333291470.0,-1999999874.6,-1333333278.0900002,125054.0,70614.0,20129.0,-2661564064.0,-4666649404.0,-1333291446.0,-1333333204.0,-1333333278.13,128521.0,73348.0,21297.0,-3328409930.0,-5999983929.0,-1333291443.0,-1333333205.5,-1333333278.43,Baldwin,AL,Alabama,1,3,6,Mixed,"Fairhope--Daphne, AL",3698.047759,205.53167,23
1005,0.0,21640.0,0.0,11273.0,5472.0,3283.0,313900.0,2083.0,7911.0,22.6,9.92,4.0,11184.0,5422.0,3195.0,328800.0,2315.0,7917.0,22.8,10.32,4.0,11357.0,5373.0,3383.0,314400.0,2087.0,7914.0,22.5,10.27,4.0,11227.0,5207.0,3505.0,307400.0,2143.0,7911.0,22.3,10.309999999999999,4.0,11318.0,5298.0,3574.0,310300.0,2162.0,7910.0,22.0,9.81,4.0,11337.0,5366.0,3476.0,309600.0,2176.0,7924.0,21.7,9.29,10971.0,5246.0,3378.0,-666444766.0,2204.0,7930.0,21.5,9.5,10929.0,5481.0,3046.0,340300.0,2434.0,7932.0,21.4,9.42,11012.0,5734.0,2864.0,382800.0,2349.0,7933.0,22.3,9.059999999999999,Barbour,AL,Alabama,1,3,6,Rural,,1787.833934,51.724831,4
1007,994.0,13820.0,0.0,8974.0,5315.0,1728.0,-666172466.0,-1999997926.0,-666654754.0,-666666631.8000001,21.53,7.0,8929.0,5143.0,1872.0,-1332850832.0,-1999997517.0,-666654758.0,-666666632.2,-666666648.14,7.0,9105.0,5315.0,1626.0,-666033866.0,-1999996999.0,-666654748.0,-666666631.6,-666666647.83,7.0,9180.0,5284.0,1612.0,-666054566.0,-1999997036.0,-666654746.0,-666666631.5,-666666647.86,7.0,9253.0,5265.0,1676.0,-666091666.0,-2666664713.0,-666654747.0,-666666631.5,19.85,7.0,9214.0,5457.0,1745.0,-666091366.0,-1999997411.0,-666654756.0,-666666632.3,18.45,9079.0,5726.0,1401.0,-666053566.0,-1999997061.0,-666654751.0,-666666632.1,19.990000000000002,8998.0,5502.0,1679.0,-1999461198.0,-1999996949.0,-666654758.0,-666666633.2,18.509999999999998,8912.0,5764.0,1642.0,-1332603332.0,-1999996811.0,-666654760.0,-666666631.4,17.77,Bibb,AL,Alabama,1,3,6,Rural,,1581.24039,9.351088,7
1009,1278.0,13820.0,130970.0,20684.0,13750.0,4184.0,-665796366.0,-666661851.0,17869.0,-666666619.6,25.0,9.0,20660.0,13563.0,4160.0,-665757966.0,-666661703.0,17870.0,-666666619.8,24.83,9.0,21167.0,13803.0,4280.0,-665780966.0,-666661677.0,17872.0,-666666620.1999999,24.65,9.0,21277.0,13847.0,4183.0,-665778266.0,-666661572.0,17874.0,-666666619.8000001,24.95,9.0,21328.0,14026.0,4137.0,-665734666.0,-666660848.0,17884.0,-666666618.8000001,24.88,9.0,21586.0,14133.0,4621.0,-665634066.0,-1333328064.0,17894.0,-666666618.1,24.939999999999998,21212.0,14455.0,3940.0,-665630066.0,-666660513.0,-666650756.0,-666666617.6999999,25.990000000000002,21294.0,14600.0,4038.0,-665498966.0,-666660058.0,17896.0,51.9,25.86,21396.0,15007.0,3995.0,-665405766.0,-666660039.0,17898.0,51.8,27.529999999999998,Blount,AL,Alabama,1,3,6,Mixed,"Oneonta, AL",1468.454692,11.993670999999999,9
1011,0.0,0.0,0.0,5361.0,3105.0,1298.0,411200.0,-666664999.0,7940.0,24.0,10.56,4.0,5378.0,3124.0,1191.0,365500.0,-666665128.0,7941.0,24.1,11.43,4.0,5346.0,3012.0,1314.0,369300.0,-666665231.0,7940.0,23.9,11.73,4.0,5460.0,3174.0,1021.0,404700.0,-666665071.0,7937.0,24.7,11.809999999999999,4.0,5603.0,3042.0,1156.0,-666420266.0,-666664879.0,7939.0,24.3,11.5,4.0,5664.0,3105.0,1049.0,-666422366.0,-666664951.0,7940.0,23.2,11.58,5928.0,3012.0,1342.0,428300.0,-666664775.0,7939.0,22.7,11.74,5850.0,2962.0,1363.0,-666365766.0,-666664531.0,7945.0,23.0,10.77,5738.0,2972.0,1409.0,490300.0,-666664413.0,7951.0,23.2,10.84,Bullock,AL,Alabama,1,3,6,Rural,,2371.587072,7.393619000000001,4
1013,0.0,0.0,0.0,10647.0,5971.0,2546.0,316100.0,-666664468.0,9913.0,27.5,12.64,5.0,10663.0,5774.0,2451.0,326100.0,-666664492.0,9913.0,27.8,12.99,5.0,10755.0,5385.0,2259.0,366200.0,-666664443.0,9899.0,27.8,14.07,5.0,10618.0,5048.0,2098.0,379200.0,-666664507.0,9904.0,28.0,15.24,5.0,10802.0,4973.0,2013.0,437900.0,3021.0,9904.0,28.5,15.32,5.0,10694.0,5211.0,1811.0,475300.0,-666664391.0,9911.0,29.8,14.440000000000001,10413.0,5004.0,1825.0,446000.0,-666664238.0,9902.0,29.6,14.59,10506.0,5385.0,2114.0,-666305466.0,-1333331426.0,9917.0,28.6,13.84,10571.0,5364.0,2324.0,-666269466.0,-1333331424.0,9911.0,29.1,13.25,Butler,AL,Alabama,1,3,6,Rural,,2287.953759,3.106669,5
1015,0.0,11500.0,7887.0,48104.0,27902.0,12384.0,1210200.0,6353.0,19773.0,59.0,25.05,10.0,48138.0,28040.0,12243.0,1224400.0,-666660903.0,19781.0,59.4,25.080000000000002,10.0,48617.0,28298.0,12110.0,1248100.0,-666660720.0,19780.0,61.9,25.07,10.0,48498.0,28395.0,11868.0,1220500.0,-666660352.0,19782.0,59.7,25.259999999999998,10.0,48529.0,28244.0,11681.0,1247400.0,7664.0,19787.0,59.5,25.05,10.0,48871.0,28582.0,11660.0,1234300.0,7655.0,19796.0,59.3,25.73,48222.0,28370.0,11420.0,1271400.0,7911.0,19798.0,59.7,26.3,47765.0,28345.0,11418.0,1510600.0,8568.0,19798.0,59.7,25.84,47667.0,28399.0,11667.0,1574800.0,-666659147.0,19814.0,58.9,24.98,Calhoun,AL,Alabama,1,3,6,Mixed,"Anniston--Oxford, AL",1806.739248,15.515429,10
1017,732.0,29300.0,0.0,19154.0,10658.0,4899.0,574300.0,3913.0,11880.0,35.199999999999996,15.5,6.0,19012.0,10729.0,4898.0,616400.0,3783.0,11883.0,35.2,15.35,6.0,19279.0,10594.0,5010.0,665400.0,3778.0,11903.0,35.5,15.31,6.0,19189.0,10627.0,4840.0,723600.0,3955.0,11898.0,35.5,15.39,6.0,19552.0,10682.0,4862.0,791000.0,4556.0,11913.0,35.1,15.56,6.0,19534.0,10744.0,4909.0,850600.0,4227.0,11927.0,35.7,15.74,18780.0,10455.0,4558.0,886700.0,4637.0,11924.0,36.3,16.93,18904.0,11174.0,4075.0,1005700.0,5063.0,11917.0,36.7,15.83,19324.0,11665.0,4171.0,1043600.0,4947.0,11917.0,36.6,14.99,Chambers,AL,Alabama,1,3,6,Rural,,1479.0464980000002,20.917845,6
1019,0.0,0.0,0.0,13955.0,7257.0,2331.0,408200.0,2559.0,7935.0,22.1,9.07,4.0,13954.0,7222.0,2022.0,442400.0,2606.0,7941.0,22.4,9.23,4.0,14186.0,7073.0,2016.0,465100.0,2359.0,7943.0,22.5,9.42,4.0,14328.0,6948.0,1863.0,498600.0,2657.0,7951.0,22.9,9.629999999999999,4.0,14176.0,6720.0,2037.0,508300.0,2596.0,7951.0,22.9,9.63,4.0,14056.0,6910.0,1796.0,546400.0,-666664918.0,7957.0,23.1,9.71,12392.0,6203.0,1631.0,542900.0,2842.0,7954.0,23.5,10.61,12273.0,6340.0,1667.0,597800.0,3109.0,7954.0,23.5,10.26,12265.0,6738.0,1805.0,625900.0,2962.0,7953.0,23.1,10.030000000000001,Cherokee,AL,Alabama,1,3,6,Rural,,949.158488,119.117334,4
1021,1136.0,13820.0,0.0,17624.0,11321.0,3590.0,672000.0,-1333329405.0,15866.0,47.7,19.57,8.0,17548.0,11400.0,3653.0,-665993666.0,-1333329328.0,15860.0,46.8,19.29,8.0,17645.0,11300.0,3655.0,710000.0,-1333329345.0,15870.0,48.4,19.86,8.0,17776.0,11292.0,3632.0,724400.0,-1333329546.0,15886.0,45.6,20.439999999999998,8.0,17905.0,11311.0,3766.0,853100.0,-1333329298.0,15855.0,43.8,19.93,8.0,17714.0,11408.0,3484.0,-1332666232.0,-1999996472.0,15886.0,49.6,21.08,17399.0,10835.0,3650.0,-665757966.0,-1999995917.0,15879.0,47.6,22.04,17765.0,11496.0,3755.0,1198000.0,-1333328928.0,15881.0,45.2,22.08,17903.0,12094.0,3646.0,-665668766.0,-1333328195.0,15892.0,48.5,20.759999999999998,Chilton,AL,Alabama,1,3,6,Rural,,1678.2786019999999,28.944775000000003,8
1023,0.0,0.0,0.0,7185.0,4412.0,1062.0,-666160466.0,-1999996828.0,19826.0,-666666615.6,21.93,10.0,7218.0,4362.0,1118.0,-666151166.0,-1999996428.0,19833.0,-666666615.1,21.81,10.0,7249.0,4239.0,1100.0,-666116666.0,-2666663704.0,19832.0,-666666613.9000001,22.38,10.0,7241.0,4120.0,1102.0,-1332757832.0,-2666663701.0,-666648818.0,-1333333285.5,22.88,10.0,7234.0,4143.0,1028.0,-1332791132.0,-2666663353.0,-666648829.0,-1333333285.0,23.41,10.0,7314.0,4272.0,980.0,-1332731832.0,-3999997745.0,-1333317486.0,-1333333284.3,23.93,6992.0,4207.0,869.0,-1332696132.0,-2666663083.0,-1333317484.0,-1333333283.3,24.88,6990.0,4175.0,912.0,-1332516032.0,-2666662742.0,-1333317471.0,-1333333282.4,24.19,7082.0,4184.0,896.0,-1999299998.0,-2666662960.0,-1333317445.0,-1333333282.8,22.79,Choctaw,AL,Alabama,1,3,6,Rural,,2423.016661,19.210900000000002,10
1025,0.0,0.0,0.0,12940.0,6595.0,3294.0,611700.0,-2666663520.0,17848.0,51.4,25.35,9.0,12976.0,6652.0,3191.0,-666073766.0,-2666663429.0,17861.0,51.7,23.63,9.0,13074.0,6545.0,3306.0,-665964966.0,-2666663408.0,17854.0,-666666619.6999999,-666666646.05,9.0,13158.0,6545.0,3091.0,-665951866.0,-3333330984.0,17857.0,-666666617.0,-666666645.59,9.0,13266.0,6626.0,2779.0,-665784766.0,-3333331094.0,17852.0,-666666616.9,-666666644.62,9.0,13310.0,7001.0,2617.0,-665951467.0,-3333330967.0,17839.0,53.8,21.75,12164.0,6169.0,2284.0,-665904767.0,-3333330797.0,17820.0,53.2,24.9,12111.0,6133.0,2296.0,-665824967.0,-3333330587.0,17831.0,53.4,25.5,12073.0,6227.0,2473.0,-665842867.0,-2666662836.0,17845.0,52.1,24.18,Clarke,AL,Alabama,1,3,6,Rural,,3312.647517,39.289394,9
1027,0.0,0.0,0.0,6489.0,3900.0,1306.0,-1332984132.0,-1999998678.0,-1333325416.0,-1333333308.4,-666666653.15,6.0,6645.0,3874.0,1358.0,-1332975232.0,-1999998666.0,-1333325414.0,-1333333308.3,-666666652.9399999,6.0,6535.0,3821.0,1283.0,-1332952432.0,-1999998570.0,-1333325412.0,-1333333308.3,-666666652.94,6.0,6440.0,3394.0,1411.0,-1332835932.0,-1999998442.0,-1333325413.0,-1333333307.8999999,-1333333322.04,6.0,6621.0,3668.0,1287.0,-1332876832.0,-1999998490.0,-1333325416.0,-1333333308.6,-1333333322.07,6.0,6730.0,3861.0,1208.0,-1332879732.0,-1999998519.0,-1333325412.0,-1333333308.4,-666666636.37,6963.0,4085.0,1292.0,-1332848632.0,-2666665709.0,-1333325405.0,-1333333308.4,-666666638.4100001,7170.0,4375.0,1206.0,-1332800732.0,-2666665642.0,-1333325389.0,-1333333308.2,-666666642.39,7132.0,4530.0,1295.0,-1332747532.0,-2666665551.0,-1333325380.0,-1333333308.5,-666666642.7,Clay,AL,Alabama,1,3,6,Rural,,1355.103591,6.184331,6
1029,0.0,0.0,0.0,6506.0,4290.0,1293.0,391200.0,2204.0,7941.0,23.0,10.35,4.0,6494.0,4268.0,1364.0,373200.0,2302.0,7941.0,22.2,10.29,4.0,6577.0,4161.0,1430.0,410900.0,2261.0,7943.0,22.3,10.51,4.0,6590.0,4176.0,1368.0,410000.0,2309.0,7952.0,22.4,10.91,4.0,6631.0,4165.0,1332.0,421800.0,2471.0,7948.0,22.3,11.1,4.0,6653.0,4347.0,1287.0,447300.0,2764.0,7953.0,22.0,10.559999999999999,6550.0,4126.0,1277.0,437700.0,3036.0,7950.0,22.0,10.84,6594.0,4303.0,1261.0,507900.0,-666664102.0,7952.0,22.0,10.51,6685.0,4504.0,1172.0,613600.0,3482.0,7953.0,22.7,10.51,Cleburne,AL,Alabama,1,3,6,Rural,,1136.87394,1.84869,4
